WKT,nombre,descripción
 
"POLYGON ((-70.613789 -33.508224, -70.611627 -33.510353, -70.611414 -33.512255, -70.611216 -33.513384, -70.61095 -33.51617799999999, -70.610595 -33.519208000000006, -70.610362 -33.521215999999995, -70.610114 -33.522831000000004, -70.609917 -33.524592000000005, -70.609747 -33.526099, -70.609814 -33.52767800000001, -70.609836 -33.528879, -70.609934 -33.531718, -70.610041 -33.535014, -70.610119 -33.536807, -70.610193 -33.53735799999999, -70.610383 -33.539489, -70.610406 -33.54125400000001, -70.610593 -33.546629, -70.613776 -33.546535000000006, -70.614922 -33.54638200000001, -70.614634 -33.547427, -70.61431 -33.548621999999995, -70.613459 -33.551598, -70.612703 -33.554026, -70.610526 -33.561956, -70.61261600000002 -33.56220700000001, -70.61232 -33.563867, -70.61136 -33.570197, -70.607945 -33.569383, -70.603975 -33.56847500000001, -70.599745 -33.567254, -70.598609 -33.56737700000001, -70.597819 -33.567952, -70.592689 -33.56999, -70.592509 -33.570181, -70.592245 -33.570127, -70.592244 -33.569977, -70.587111 -33.569255, -70.583879 -33.568857, -70.584556 -33.565679, -70.581187 -33.565024, -70.567943 -33.562644000000006, -70.559724 -33.561342, -70.557204 -33.560835, -70.558283 -33.559579, -70.5598 -33.557721, -70.561325 -33.555868, -70.562401 -33.554558, -70.563667 -33.553059000000005, -70.565528 -33.55076, -70.568208 -33.547588, -70.560451 -33.547753, -70.554747 -33.547829, -70.554028 -33.548094, -70.548866 -33.547559, -70.541844 -33.546928, -70.53767 -33.546194, -70.527821 -33.544402000000005, -70.51700500000001 -33.542462, -70.514252 -33.541763, -70.500351 -33.545813, -70.494853 -33.542574, -70.486313 -33.540752, -70.485964 -33.540181, -70.48558800000002 -33.538972, -70.485173 -33.538227, -70.484881 -33.536745, -70.483463 -33.53512899999999, -70.480893 -33.534886, -70.479458 -33.533776, -70.478859 -33.53282000000001, -70.479135 -33.530827, -70.479085 -33.529326000000005, -70.478755 -33.528178, -70.476692 -33.526619, -70.474297 -33.524608, -70.471577 -33.524879, -70.46877 -33.52434000000001, -70.468358 -33.52417700000001, -70.467065 -33.522059, -70.46705200000001 -33.52118899999999, -70.466368 -33.520709, -70.465895 -33.518979, -70.464953 -33.515826, -70.46878400000001 -33.515403, -70.473532 -33.51532999999999, -70.490715 -33.514673, -70.49872300000001 -33.51437000000001, -70.518293 -33.513342, -70.524013 -33.514092, -70.526832 -33.514731, -70.529586 -33.513748, -70.53438200000001 -33.513031, -70.542538 -33.512553, -70.553193 -33.51203100000001, -70.555665 -33.512021, -70.564472 -33.51137700000001, -70.565676 -33.511737, -70.576387 -33.510901, -70.585942 -33.510236, -70.587796 -33.51023500000001, -70.589148 -33.510653000000005, -70.59031300000001 -33.510283, -70.591542 -33.509912, -70.600438 -33.509273, -70.607025 -33.508708, -70.611663 -33.508367, -70.613789 -33.508224))",LA FLORIDA,Rodolfo Carter Fernández (ind/UDI)
"POLYGON ((-70.636531 -33.519247, -70.636339 -33.5212, -70.635956 -33.524226, -70.63557 -33.5274, -70.635508 -33.529016, -70.634839 -33.532254, -70.634658 -33.53406300000001, -70.634572 -33.53693, -70.634453 -33.5396, -70.634061 -33.542763, -70.633631 -33.545877, -70.632951 -33.549398, -70.632048 -33.553552, -70.631481 -33.555858, -70.630609 -33.55979, -70.627448 -33.559052, -70.622265 -33.557879, -70.619982 -33.557378, -70.6177 -33.556867, -70.612341 -33.55563599999999, -70.612907 -33.553413000000006, -70.614123 -33.549236, -70.61491 -33.546358, -70.613769 -33.546556, -70.613236 -33.546546, -70.612298 -33.546556, -70.61062 -33.546634, -70.610449 -33.541095, -70.610352 -33.53949, -70.610251 -33.537882, -70.610167 -33.537235, -70.609889 -33.531151, -70.609858 -33.528444, -70.609736 -33.52603700000001, -70.609935 -33.524523, -70.610095 -33.522968999999996, -70.610372 -33.520888, -70.610911 -33.516678, -70.611031 -33.515426, -70.611283 -33.51307500000001, -70.613789 -33.51309599999999, -70.615064 -33.513089, -70.616354 -33.513415, -70.618072 -33.513833, -70.620279 -33.51445399999999, -70.62108 -33.514897, -70.623834 -33.51623, -70.627155 -33.517697, -70.627919 -33.517844, -70.632238 -33.518322, -70.63661 -33.518741000000006, -70.636531 -33.519247))",LA GRANJA,Felipe Delpin Aguilar (PDC)
 
"POLYGON ((-70.656802 -33.562489, -70.660058 -33.57392, -70.663131 -33.585346, -70.66586300000002 -33.593616, -70.67066800000002 -33.607378, -70.65565 -33.608976, -70.643301 -33.610055, -70.646749 -33.621741, -70.642758 -33.62222299999999, -70.644595 -33.627606, -70.62873800000001 -33.62795799999999, -70.626495 -33.618624000000004, -70.626866 -33.604848999999994, -70.622348 -33.604342, -70.618092 -33.603839, -70.606086 -33.602118, -70.606763 -33.597486, -70.60737700000001 -33.593279, -70.608378 -33.587619, -70.608589 -33.587229, -70.609479 -33.587088, -70.610115 -33.58081, -70.60948 -33.58077500000001, -70.609649 -33.579675, -70.610634 -33.57417000000001, -70.611425 -33.570189, -70.612594 -33.562228, -70.61052 -33.561958, -70.612315 -33.555638, -70.616247 -33.556536, -70.623514 -33.558102, -70.626367 -33.558853, -70.628601 -33.559371000000006, -70.63061 -33.55976299999999, -70.631066 -33.55813, -70.632072 -33.558163, -70.634159 -33.557909, -70.639539 -33.55718000000001, -70.641777 -33.55687, -70.645487 -33.556455, -70.650558 -33.555604, -70.654932 -33.554983, -70.656802 -33.562489))",LA PINTANA,Claudia Pizarro Peña (PDC)
"POLYGON ((-70.584059 -33.432311000000006, -70.582804 -33.433427, -70.580812 -33.434682, -70.578886 -33.435699, -70.576677 -33.436451, -70.574671 -33.437244, -70.573449 -33.437982000000005, -70.573268 -33.438554, -70.572612 -33.442072, -70.571592 -33.44801199999999, -70.570938 -33.451717, -70.570745 -33.453272, -70.570882 -33.45412999999999, -70.57138 -33.455896, -70.571709 -33.457315, -70.572243 -33.459001, -70.570769 -33.459479, -70.569201 -33.46006799999999, -70.567212 -33.460837999999995, -70.562199 -33.462463, -70.560108 -33.462575, -70.557307 -33.462626, -70.551674 -33.462671, -70.550795 -33.46269100000001, -70.544483 -33.463648, -70.543985 -33.463668, -70.54222100000001 -33.462878, -70.540219 -33.462951, -70.538986 -33.46329500000001, -70.531281 -33.46545, -70.530777 -33.463934, -70.530695 -33.462351, -70.530359 -33.461701, -70.529545 -33.459232, -70.521117 -33.459657, -70.514301 -33.459826, -70.509062 -33.45970500000001, -70.506241 -33.459328, -70.50429 -33.457221, -70.505706 -33.454816, -70.490955 -33.454474, -70.496109 -33.45031500000001, -70.496036 -33.446497, -70.504538 -33.43637199999999, -70.50538 -33.433307, -70.514596 -33.43115999999999, -70.51946 -33.431195, -70.521663 -33.4315, -70.523975 -33.431671, -70.532533 -33.432753, -70.535315 -33.433116, -70.538127 -33.43340100000001, -70.538377 -33.432805, -70.538934 -33.431254, -70.539188 -33.430326, -70.539182 -33.428974, -70.549184 -33.430087, -70.551531 -33.430373, -70.554399 -33.430625, -70.554617 -33.430459, -70.559702 -33.430699999999995, -70.562351 -33.430791, -70.571254 -33.431155, -70.574684 -33.431231, -70.578658 -33.431381, -70.5825 -33.431592, -70.58454800000001 -33.431803, -70.584059 -33.432311000000006))",LA REINA,José Palacios Parra (UDI)
"POLYGON ((-70.43128968896401 -33.47914633957822, -70.429378 -33.479767, -70.42827500000001 -33.480833, -70.426547 -33.480576000000006, -70.425312 -33.480025, -70.421695 -33.479634000000004, -70.417539 -33.479146, -70.412893 -33.48145, -70.409448 -33.483523000000005, -70.40698 -33.483983, -70.404326 -33.48512999999999, -70.397655 -33.48711200000001, -70.393186 -33.487292, -70.389438 -33.48418100000001, -70.388109 -33.48357399999999, -70.383774 -33.483264, -70.381294 -33.482964, -70.37872 -33.482815, -70.378921 -33.483599000000005, -70.377972 -33.483794, -70.376264 -33.485171, -70.374578 -33.485739, -70.37278 -33.485741000000004, -70.367852 -33.48406, -70.367002 -33.483658, -70.362212 -33.483412, -70.360683 -33.483994, -70.356377 -33.484134, -70.35388800000001 -33.484225, -70.352071 -33.48471, -70.351316 -33.486059, -70.350637 -33.487763, -70.34860000000002 -33.487577, -70.345846 -33.486766, -70.344183 -33.485322, -70.340405 -33.48115500000001, -70.337345 -33.477461, -70.335442 -33.475954, -70.333116 -33.473983999999994, -70.329618 -33.472082, -70.328255 -33.470057, -70.330356 -33.457929, -70.344686 -33.448795999999994, -70.351986 -33.435038, -70.358284 -33.422922, -70.365437 -33.410132, -70.368248 -33.403823, -70.374687 -33.40044399999999, -70.378186 -33.398541, -70.375395 -33.395254, -70.375215 -33.38731799999999, -70.379339 -33.382492, -70.386733 -33.377978, -70.392769 -33.37453, -70.40093400000002 -33.374089, -70.40652500000002 -33.373539, -70.410506 -33.372196, -70.416062 -33.371031, -70.423145 -33.36974699999999, -70.43074600000001 -33.37238, -70.43128968896401 -33.37227351586358, -70.433891 -33.37176399999999, -70.441341 -33.373202000000006, -70.445323 -33.37264400000001, -70.453761 -33.372402, -70.459743 -33.372527999999996, -70.46563 -33.37270800000001, -70.469226 -33.37092, -70.46946 -33.367503, -70.469459 -33.366734, -70.47454 -33.364821000000006, -70.480297 -33.36507600000001, -70.486359 -33.365069000000005, -70.49010200000001 -33.364997, -70.49270000000001 -33.364974000000004, -70.493774 -33.36613, -70.494886 -33.36708, -70.49601 -33.36740400000001, -70.496812 -33.367408000000005, -70.499311 -33.367242, -70.502163 -33.368549, -70.504576 -33.36963600000001, -70.506059 -33.370034000000004, -70.509064 -33.37035999999999, -70.512125 -33.37086800000001, -70.516021 -33.37202, -70.52036 -33.374096, -70.522575 -33.375113, -70.525109 -33.376074, -70.527025 -33.377093, -70.528422 -33.378389, -70.52984 -33.379897, -70.531406 -33.381352, -70.53318 -33.38317, -70.53608 -33.385048, -70.541817 -33.38741499999999, -70.545622 -33.388836, -70.553087 -33.391752999999994, -70.559684 -33.393998, -70.565461 -33.395827, -70.573489 -33.398877, -70.57885 -33.401108, -70.582409 -33.4025, -70.585265 -33.403819, -70.587862 -33.404455, -70.5903 -33.404971, -70.595735 -33.406935000000004, -70.597714 -33.407669, -70.599014 -33.40809699999999, -70.601197 -33.408122, -70.602312 -33.40825999999999, -70.603933 -33.408979, -70.605368 -33.411991, -70.605434 -33.413213, -70.606274 -33.415211, -70.60671 -33.416169000000004, -70.604888 -33.416947, -70.604242 -33.417227, -70.602424 -33.417573, -70.601509 -33.41798, -70.600322 -33.419064, -70.599059 -33.419962, -70.595499 -33.422632, -70.59121600000002 -33.425911, -70.589684 -33.427116999999996, -70.585356 -33.430819, -70.584549 -33.431809, -70.583103 -33.43165499999999, -70.582089 -33.431572, -70.580578 -33.431478, -70.579238 -33.43142000000001, -70.577932 -33.431349, -70.575995 -33.431266, -70.57166 -33.43115999999999, -70.56934 -33.43107799999999, -70.565219 -33.430904, -70.562854 -33.430816, -70.560114 -33.430718000000006, -70.558132 -33.430625, -70.556691 -33.430553, -70.554608 -33.430461, -70.5544 -33.430625, -70.553599 -33.430554, -70.551393 -33.430355, -70.550795 -33.430297, -70.547429 -33.429883, -70.545919 -33.429728, -70.540673 -33.429137, -70.539181 -33.428976, -70.53918700000001 -33.43033700000001, -70.539042 -33.430858, -70.538864 -33.431413, -70.538482 -33.432533, -70.53814 -33.433378999999995, -70.53420600000001 -33.433017, -70.519497 -33.43119200000001, -70.516247 -33.431152, -70.514578 -33.43113199999999, -70.505356 -33.433288, -70.50459 -33.436261, -70.499771 -33.44187999999999, -70.497324 -33.444971, -70.496148 -33.44647200000001, -70.496058 -33.450271, -70.490931 -33.454354, -70.489608 -33.45501599999999, -70.487744 -33.458722, -70.486603 -33.460651000000006, -70.486124 -33.463033, -70.479327 -33.467998, -70.476969 -33.470109, -70.475139 -33.473448, -70.47403 -33.473765, -70.471884 -33.475292, -70.46653400000001 -33.474952, -70.461485 -33.475928, -70.454976 -33.479708, -70.448947 -33.483824, -70.44072 -33.487997, -70.437952 -33.48885700000001, -70.438041 -33.486504, -70.437907 -33.482884000000006, -70.436679 -33.480329, -70.434712 -33.479476, -70.432187 -33.478854999999996, -70.43128968896401 -33.47914633957822))",LAS CONDES,Joaquín Lavín Infante (UDI)
"POLYGON ((-70.43128968896401 -33.12597524787687, -70.43507 -33.128283, -70.440318 -33.135760000000005, -70.446743 -33.145123, -70.452824 -33.158029, -70.45799 -33.161959, -70.461064 -33.168065, -70.464858 -33.17477199999999, -70.46542 -33.175917, -70.464683 -33.184673, -70.468785 -33.188683, -70.470491 -33.193063, -70.471126 -33.195661, -70.470128 -33.201175, -70.472505 -33.205279, -70.473669 -33.208705, -70.476088 -33.213037, -70.483688 -33.214487, -70.490257 -33.214707, -70.49783 -33.214922, -70.503153 -33.215845, -70.508432 -33.214985, -70.515453 -33.218352, -70.516091 -33.224127, -70.520657 -33.230023, -70.526976 -33.234415, -70.532961 -33.235262999999996, -70.537039 -33.235673000000006, -70.54345 -33.234462, -70.54923 -33.237328, -70.556562 -33.237414, -70.562421 -33.241599, -70.562773 -33.247899, -70.566156 -33.25149300000001, -70.569626 -33.255296, -70.57231 -33.259928, -70.574808 -33.264076, -70.575424 -33.26646800000001, -70.573148 -33.27256, -70.573959 -33.280827, -70.577057 -33.286173, -70.584547 -33.28982, -70.593409 -33.295427, -70.59554 -33.301059, -70.604016 -33.307609, -70.60350470322861 -33.308755834651016, -70.592771 -33.332824, -70.589588 -33.344179, -70.587501 -33.346928, -70.584088 -33.350546, -70.580572 -33.350902, -70.579442 -33.351867, -70.57785 -33.352094, -70.57541 -33.353174, -70.573531 -33.355424, -70.57064 -33.357012, -70.567503 -33.355457, -70.565213 -33.356821000000004, -70.56055 -33.358011, -70.557075 -33.358834, -70.550755 -33.363079, -70.540286 -33.370601, -70.534707 -33.370272, -70.530322 -33.370239000000005, -70.526553 -33.369737, -70.524925 -33.369209, -70.520533 -33.369738, -70.519293 -33.370553, -70.518335 -33.371562, -70.517571 -33.372784, -70.515972 -33.372005, -70.513172 -33.371181, -70.511477 -33.370744, -70.509449 -33.370431, -70.506039 -33.370027, -70.504489 -33.36962, -70.502026 -33.368539, -70.499331 -33.367246, -70.49638100000001 -33.367423, -70.495898 -33.367371, -70.494908 -33.367048, -70.493918 -33.366278, -70.492742 -33.364984, -70.491596 -33.364951, -70.488921 -33.365058000000005, -70.483354 -33.365048, -70.481436 -33.365103, -70.478278 -33.365047, -70.474459 -33.36485, -70.472554 -33.365559, -70.471997 -33.365848, -70.469524 -33.366746000000006, -70.469203 -33.370953, -70.467805 -33.371610000000004, -70.465591 -33.372748, -70.463661 -33.37265, -70.461183 -33.372615, -70.456901 -33.372501, -70.454211 -33.372404, -70.448 -33.372615999999994, -70.445303 -33.372657, -70.441334 -33.373194, -70.439314 -33.37285200000001, -70.433826 -33.371768, -70.43128968896401 -33.37229043253757, -70.430782 -33.372395, -70.428645 -33.371657000000006, -70.425029 -33.370424, -70.423114 -33.36975900000001, -70.419571 -33.370435, -70.414864 -33.371285, -70.411605 -33.371952, -70.410516 -33.372209000000005, -70.407211 -33.373341, -70.406498 -33.37352899999999, -70.403568 -33.373857, -70.398407 -33.37425, -70.395818 -33.374384000000006, -70.393156 -33.374528000000005, -70.392805 -33.374538, -70.387663 -33.377435, -70.386003 -33.37840099999999, -70.384133 -33.379609, -70.382464 -33.38055, -70.379325 -33.382481, -70.377632 -33.384501, -70.375198 -33.387296, -70.375297 -33.390315, -70.375394 -33.39523500000001, -70.378157 -33.398526, -70.3762 -33.39960800000001, -70.372162 -33.401784000000006, -70.368223 -33.403836, -70.365732 -33.409504999999996, -70.363926 -33.412881, -70.363134 -33.41423799999999, -70.360418 -33.419111, -70.35831 -33.422858, -70.35626700000002 -33.426855, -70.354929 -33.429339, -70.351921 -33.435156, -70.349016 -33.440607, -70.347788 -33.44302999999999, -70.344841 -33.448694, -70.342369 -33.450269, -70.337608 -33.453295, -70.332145 -33.45680300000001, -70.330349 -33.45793100000001, -70.32814 -33.47007500000001, -70.328699 -33.47079, -70.327611 -33.47041800000001, -70.324978 -33.470434, -70.320757 -33.46937799999999, -70.317638 -33.46717400000001, -70.316031 -33.46388099999999, -70.314046 -33.462701, -70.313048 -33.462609, -70.306507 -33.462464000000004, -70.304377 -33.461626, -70.302997 -33.460508, -70.302997 -33.46032700000001, -70.301763 -33.458169, -70.301655 -33.457226, -70.301432 -33.45661299999999, -70.300298 -33.455715, -70.298712 -33.454351, -70.298016 -33.453495, -70.298062 -33.452288, -70.298475 -33.451349, -70.298185 -33.45033699999999, -70.297202 -33.448732, -70.29586 -33.448234, -70.294352 -33.448163, -70.292879 -33.4483, -70.288648 -33.449096, -70.287567 -33.449404, -70.285851 -33.449399, -70.284354 -33.44967200000001, -70.283284 -33.45067900000001, -70.282655 -33.450711, -70.282048 -33.451677, -70.281852 -33.452191000000006, -70.28127000000002 -33.452431, -70.280509 -33.45232899999999, -70.279547 -33.452361999999994, -70.278817 -33.45166700000001, -70.278016 -33.451284, -70.276185 -33.450832, -70.272237 -33.447214, -70.26957 -33.444716, -70.267808 -33.443319, -70.267241 -33.442957, -70.265298 -33.442325000000004, -70.264373 -33.441797, -70.263371 -33.44143700000001, -70.261174 -33.441685, -70.256095 -33.441163, -70.255611 -33.441078, -70.255645 -33.440386999999994, -70.254247 -33.439657, -70.252615 -33.436813, -70.251918 -33.43637, -70.248994 -33.435785, -70.24813 -33.435174, -70.247421 -33.43488800000001, -70.247356 -33.434464000000006, -70.245651 -33.434124000000004, -70.245229 -33.43366300000001, -70.244023 -33.433639, -70.24332400000002 -33.4332, -70.243014 -33.433196, -70.242886 -33.432003, -70.243185 -33.431369000000004, -70.242639 -33.431269, -70.242121 -33.429499, -70.241376 -33.429402, -70.239704 -33.42755, -70.238778 -33.427481, -70.238257 -33.42713200000001, -70.235855 -33.42404400000001, -70.235865 -33.42292, -70.235481 -33.422562, -70.235499 -33.421583, -70.234058 -33.419455, -70.232869 -33.419121, -70.229598 -33.41744400000001, -70.229123 -33.416965, -70.228257 -33.416537, -70.227443 -33.415235, -70.226202 -33.414668, -70.224812 -33.41293, -70.223632 -33.411634, -70.221968 -33.41155400000001, -70.219616 -33.410827, -70.218828 -33.409729, -70.2177 -33.40786700000001, -70.21741400000002 -33.406222, -70.216197 -33.404311, -70.216767 -33.401911, -70.217099 -33.399383, -70.215992 -33.395974, -70.213157 -33.392941, -70.208889 -33.391264, -70.206912 -33.391068, -70.205287 -33.3904, -70.204274 -33.389092999999995, -70.202746 -33.388427, -70.201612 -33.386772, -70.201123 -33.386199, -70.201149 -33.385481, -70.199767 -33.383375, -70.197815 -33.381563, -70.197618 -33.37950800000001, -70.197263 -33.378519999999995, -70.196634 -33.37704, -70.196516 -33.376482, -70.196127 -33.37604700000001, -70.194931 -33.375033, -70.194093 -33.373493, -70.193365 -33.37216300000001, -70.19341800000001 -33.369983, -70.192778 -33.367563, -70.190997 -33.366174, -70.190478 -33.365007, -70.190294 -33.363592, -70.189736 -33.362832, -70.188545 -33.360837, -70.186117 -33.360082, -70.184346 -33.360096, -70.181021 -33.35877, -70.179409 -33.356525000000005, -70.17841 -33.354563, -70.177858 -33.354054, -70.176967 -33.353654, -70.176465 -33.35209600000001, -70.177289 -33.350587999999995, -70.178596 -33.349385, -70.178316 -33.346664, -70.177549 -33.345945, -70.176288 -33.345507, -70.175045 -33.344182, -70.175063 -33.342776, -70.175749 -33.342664, -70.176319 -33.341753, -70.176941 -33.34176, -70.17690500000002 -33.341315, -70.177728 -33.340945, -70.178253 -33.33896000000001, -70.179924 -33.336504, -70.181087 -33.334945, -70.18157 -33.33411900000001, -70.180765 -33.331957, -70.180751 -33.329223000000006, -70.18106 -33.328251, -70.181648 -33.32725700000001, -70.181964 -33.326356, -70.181815 -33.322849, -70.181917 -33.320271, -70.182157 -33.318569, -70.183383 -33.31654699999999, -70.183736 -33.314834, -70.18441 -33.313282, -70.185376 -33.310502, -70.186231 -33.30759, -70.187408 -33.305004, -70.188289 -33.302485, -70.189778 -33.299052, -70.191031 -33.296743, -70.192613 -33.295843, -70.193197 -33.294594, -70.194441 -33.293894, -70.195699 -33.291777, -70.197124 -33.28998800000001, -70.198 -33.28833, -70.198004 -33.286336, -70.197611 -33.284459, -70.197627 -33.283301, -70.198337 -33.278431, -70.198664 -33.275181, -70.198779 -33.274118, -70.198288 -33.272168, -70.197837 -33.271181000000006, -70.197938 -33.268512, -70.198141 -33.267679, -70.198519 -33.266797, -70.199198 -33.264874000000006, -70.20019 -33.26405999999999, -70.200862 -33.263042, -70.201918 -33.262035, -70.202876 -33.260271, -70.208691 -33.256516, -70.20958 -33.256073, -70.209904 -33.254633000000005, -70.209535 -33.25393699999999, -70.20940100000001 -33.25203900000001, -70.208078 -33.249340000000004, -70.2076 -33.248067, -70.20773 -33.246318, -70.209296 -33.244949, -70.21003198107279 -33.24450931315387, -70.211708 -33.24350799999999, -70.213281 -33.242183, -70.214708 -33.241464, -70.216218 -33.240215, -70.216496 -33.23882, -70.215444 -33.236393, -70.214621 -33.23518, -70.213715 -33.234425, -70.213133 -33.233557, -70.213449 -33.232563, -70.21529300000002 -33.232379, -70.22013 -33.230522, -70.221216 -33.230127, -70.22179 -33.229331, -70.221785 -33.227788, -70.221995 -33.227340999999996, -70.220913 -33.224313, -70.220077 -33.223531, -70.219724 -33.222562, -70.218072 -33.219985, -70.217357 -33.218811, -70.21683 -33.216405, -70.216835 -33.215642, -70.217533 -33.213859, -70.219811 -33.211872, -70.220841 -33.21101999999999, -70.222992 -33.209894, -70.225165 -33.207925, -70.226316 -33.20609399999999, -70.227137 -33.20447599999999, -70.22791 -33.203259, -70.228639 -33.201516, -70.229357 -33.200741, -70.229423 -33.20048, -70.232871 -33.20042, -70.235252 -33.199506, -70.236028 -33.198847, -70.237326 -33.198221000000004, -70.238656 -33.196454, -70.239015 -33.19511, -70.240331 -33.191247, -70.240764 -33.189663, -70.24059300000002 -33.187094, -70.241952 -33.184407, -70.253913 -33.181594999999994, -70.255474 -33.179252, -70.256373 -33.177347, -70.260328 -33.17048, -70.267158 -33.16541800000001, -70.276373 -33.156114, -70.290182 -33.146345, -70.307286 -33.135264, -70.33174 -33.119895, -70.346331 -33.11255, -70.369039 -33.106212, -70.379985 -33.102431, -70.38135600000001 -33.10330999999999, -70.387707 -33.104755999999995, -70.392659 -33.111216, -70.397673 -33.114612, -70.405728 -33.117378, -70.422154 -33.119461, -70.426333 -33.122949, -70.43128968896401 -33.12597524787687))",LO BARNECHEA,Felipe Guevara Stephens (RN)
"POLYGON ((-70.695203 -33.502031, -70.696251 -33.50422799999999, -70.698202 -33.508212, -70.699816 -33.511488, -70.701131 -33.514193, -70.702732 -33.517641, -70.703865 -33.520237, -70.704915 -33.52267799999999, -70.705446 -33.52401700000001, -70.705567 -33.524937, -70.705646 -33.52573300000001, -70.70581 -33.528198, -70.705994 -33.529616, -70.7062 -33.53143, -70.705358 -33.53175, -70.699513 -33.533948, -70.696419 -33.535088, -70.69078 -33.537209, -70.689212 -33.53776400000001, -70.685417 -33.539125, -70.684438 -33.53738, -70.68323 -33.535154, -70.682223 -33.533309, -70.68145 -33.531888, -70.680605 -33.530254, -70.6796 -33.528547, -70.678594 -33.526588, -70.677923 -33.525393, -70.676118 -33.521538, -70.67407 -33.517237, -70.672827 -33.514617, -70.670958 -33.51075, -70.672719 -33.510074, -70.673345 -33.50978, -70.675124 -33.509013, -70.676805 -33.508321, -70.677754 -33.50832, -70.678454 -33.508251, -70.679361 -33.507768000000006, -70.682232 -33.50657, -70.683886 -33.505814, -70.684339 -33.505835, -70.685974 -33.505225, -70.68822100000001 -33.504403, -70.690341 -33.503686, -70.693453 -33.502669, -70.695076 -33.502075000000005, -70.695203 -33.502031))",LO ESPEJO,Miguel Bruna Silva (PPD)
 
"POLYGON ((-70.740855 -33.436389, -70.74063 -33.44004600000001, -70.740489 -33.441822, -70.740552 -33.44409, -70.740586 -33.44575100000001, -70.739533 -33.446518, -70.739472 -33.447331, -70.739168 -33.451013, -70.738882 -33.453499, -70.735709 -33.454136, -70.731222 -33.454977, -70.729137 -33.455352, -70.726812 -33.455789, -70.720219 -33.457094, -70.718411 -33.457474, -70.71258 -33.458574, -70.711089 -33.458566000000005, -70.708356 -33.458002, -70.70557 -33.457268, -70.705718 -33.456050999999995, -70.706077 -33.453174, -70.706263 -33.452232, -70.706836 -33.450779000000004, -70.706886 -33.450087, -70.70709 -33.448789000000005, -70.707265 -33.447221, -70.707331 -33.446134, -70.707351 -33.443973, -70.707333 -33.442387999999994, -70.707232 -33.441465, -70.707232 -33.44102099999999, -70.707043 -33.438075, -70.708741 -33.438104, -70.710365 -33.438181, -70.712735 -33.43782600000001, -70.715868 -33.437421, -70.716997 -33.43725, -70.719648 -33.436894, -70.721451 -33.436646, -70.722468 -33.43892, -70.723726 -33.438723, -70.724245 -33.437745, -70.72477 -33.437617, -70.725791 -33.437305, -70.728156 -33.436681, -70.728922 -33.43640599999999, -70.730239 -33.436239, -70.731643 -33.436287, -70.734172 -33.436349, -70.734775 -33.436367, -70.740811 -33.436362, -70.740855 -33.436389))",LO PRADO,Maximiliano Ríos Galleguillos (PPD)
 
"POLYGON ((-70.622389 -33.477197000000004, -70.62085 -33.483099, -70.620571 -33.484584, -70.620103 -33.485729, -70.61972 -33.48626600000001, -70.618818 -33.487188, -70.618564 -33.487384, -70.617869 -33.49022200000001, -70.617564 -33.4915, -70.61663 -33.495641, -70.616484 -33.49643, -70.615535 -33.500758000000005, -70.615061 -33.502952, -70.614446 -33.505607, -70.614056 -33.50768, -70.613781 -33.50821899999999, -70.607096 -33.508681, -70.603976 -33.508959, -70.595295 -33.509627, -70.591496 -33.509921, -70.59024 -33.510267000000006, -70.590038 -33.509203, -70.58967 -33.507144000000004, -70.589616 -33.506455, -70.589474 -33.50569500000001, -70.589183 -33.504911, -70.588848 -33.503958, -70.588223 -33.50262, -70.587583 -33.50113199999999, -70.587178 -33.500212000000005, -70.586925 -33.499793, -70.58613 -33.498444, -70.583539 -33.494223, -70.58236 -33.492393, -70.581153 -33.490453, -70.580849 -33.489877, -70.580562 -33.48899, -70.580336 -33.487842, -70.580013 -33.486580999999994, -70.57965 -33.484280999999996, -70.579165 -33.482042, -70.578209 -33.477494, -70.577935 -33.476269, -70.577099 -33.47233599999999, -70.576655 -33.470263, -70.57692200000001 -33.470248, -70.5772 -33.47006, -70.577364 -33.46982100000001, -70.57917000000002 -33.470701, -70.580331 -33.4713, -70.582019 -33.472178, -70.58319 -33.472821, -70.584185 -33.47325899999999, -70.584642 -33.47331, -70.585783 -33.47348000000001, -70.586383 -33.473509, -70.58688 -33.473469, -70.586854 -33.473646, -70.586888 -33.473873, -70.586983 -33.474041, -70.587343 -33.47435, -70.587782 -33.47440100000001, -70.58827400000001 -33.474355, -70.588575 -33.47417800000001, -70.588788 -33.473827, -70.58947 -33.47396, -70.590549 -33.473863, -70.59200200000001 -33.473717, -70.59247 -33.473643, -70.593531 -33.473614, -70.594978 -33.473506, -70.596397 -33.473474, -70.596619 -33.47354099999999, -70.596925 -33.473563, -70.598728 -33.47369299999999, -70.611337 -33.474364, -70.615426 -33.474533, -70.622974 -33.474966, -70.622389 -33.477197000000004))",MACUL,Gonzalo Montoya Riquelme (ind)
